jop_title,Company_Name,jop_Type,Address,City,Country
Illustrator & Graphic Dessigner, Movibilecases -, Full Time, Haram, Giza, Egypt
2D illustrator / Designer, Confidential -, Full Time, Heliopolis, Cairo, Egypt
2D Illustrator - Alexandria, Arabic Localizer -, Full Time, San Stefano, Alexandria, Egypt
Project Coordinator & Graphic Designer, Slamtex  -, Full Time, Obour City, Cairo, Egypt
Graphic Designer, kabbani furniture -, Full Time, New Cairo, Cairo, Egypt
Senior Graphic Designer - 2D -Alexandria, Caduceus Lane -, Full Time, Alexandria, Egypt,
Motion Graphic Artist, Pioneers Now -, Full Time, Nasr City, Cairo, Egypt
Motion Graphic Designer, Euruq AlSahra -, Full Time, Nasr City, Cairo, Egypt
Graphic Designer, Shary -, Full Time, New Cairo, Cairo, Egypt
Graphic Designer, Brandmelon -, Full Time, Maadi, Cairo, Egypt
Graphic Designer ( Alexandria ), Longman Egypt -, Full Time, Alexandria, Egypt,
Graphic Designer, SevenCodeApps -, Full Time, Nasr City, Cairo, Egypt
E- Commerce Graphic Designer, shop4build -, Full Time, Maadi, Cairo, Egypt
Senior Graphic Designer, El Megharbel Construction -, Full Time, Nasr City, Cairo, Egypt
Senior Graphic Designer, Muqbis -, Full Time, Maadi, Cairo, Egypt
